symbol,shortName,sector,price,marketCap,volume
CENT,Central Garden & Pet Company,Consumer Defensive,33.83,2105381632,77263
CENTA,Central Garden & Pet Company,Consumer Defensive,30.67,1947632768,315519
CENX,Century Aluminum Company,Basic Materials,45.33,4231191552,2233483
CEPF,"Cantor Equity Partners IV, Inc.",Financial Services,10.47,598360512,118936
CEPO,"Cantor Equity Partners I, Inc.",Financial Services,10.46,266730000,215631
CEPT,"Cantor Equity Partners II, Inc.",Financial Services,12.42,379803616,484496
CEPV,"Cantor Equity Partners V, Inc.",Financial Services,10.25,325847488,253560
CERS,Cerus Corporation,Healthcare,2.33,447563872,1502573
CERT,"Certara, Inc.",Healthcare,8.79,1400012800,2276983
CETX,Cemtrex Inc.,Technology,1.54,13244851,6562288
CETY,"Clean Energy Technologies, Inc.",Industrials,0.7657,6916723,6206367
CEVA,"CEVA, Inc.",Technology,21.09,569805504,548832
CFBK,CF Bankshares Inc.,Financial Services,29.11,187578288,48011
CFFI,C&F Financial Corporation,Financial Services,75.3,244421696,4581
CFFN,"Capitol Federal Financial, Inc.",Financial Services,7.28,956870912,938239
CFLT,"Confluent, Inc.",Technology,30.54,10838293504,11594147
CG,The Carlyle Group Inc.,Financial Services,58.78,21261012992,2609118
CGBD,"Carlyle Secured Lending, Inc.",Financial Services,12.25,893061568,509506
CGC,Canopy Growth Corporation,Healthcare,1.09,440495264,30645595
CGCT,Cartesian Growth Corporation II,Financial Services,10.31,355695008,236609
CGEM,"Cullinan Therapeutics, Inc.",Healthcare,11.96,706552064,1016308
CGEN,Compugen Ltd.,Healthcare,1.84,173204656,426018
CGNT,Cognyte Software Ltd.,Technology,9.03,659533888,255981
CGNX,Cognex Corporation,Technology,38.74,6492748800,1726934
CGO,Calamos Global Total Return Fun,Financial Services,12.32,121072256,25108
CGON,"CG Oncology, Inc.",Healthcare,52.05,4300594176,1074793
CGTL,Creative Global Technology Hold,Consumer Cyclical,3.14,80776504,2225447
CGTX,"Cognition Therapeutics, Inc.",Healthcare,1.09,96218944,986857
CHA,Chagee Holdings Limited,Consumer Cyclical,11.72,2177019392,894003
CHAC,Crane Harbor Acquisition Corp.,Financial Services,10.62,318316768,543040
CHAI,"Core AI Holdings, Inc.",Communication Services,1.68,33469672,143578
CHAR,Charlton Aria Acquisition Corpo,Financial Services,10.54,115571096,4209
CHCI,"Comstock Holding Companies, Inc",Real Estate,11.01,111065040,26188
CHCO,City Holding Company,Financial Services,123.09,1773560832,93655
CHDN,"Churchill Downs, Incorporated",Consumer Cyclical,98.36,6897427968,698257
CHEC,Chenghe Acquisition III Co.,Financial Services,10.06,173783168,30701
CHEF,"The Chefs' Warehouse, Inc.",Consumer Defensive,62.9,2563971072,413204
CHI,Calamos Convertible Opportuniti,Financial Services,11.23,894218880,200883
CHKP,Check Point Software Technologi,Technology,179.51,19271245824,968570
CHMG,Chemung Financial Corp,Financial Services,60.77,292242944,7952
CHNR,"China Natural Resources, Inc.",Basic Materials,4.27,5364776,25421
CHPG,ChampionsGate Acquisition Corpo,Financial Services,10.32,103068792,2778
CHR,"Cheer Holding, Inc.",Communication Services,1.33,6232710,1025462
CHRD,Chord Energy Corporation,Energy,100.24,5739552256,731785
CHRS,"Coherus Oncology, Inc.",Healthcare,2.16,261081408,1882713
CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,194.95,23030841344,1659518
CHSN,Chanson International Holding,Consumer Cyclical,2.13,83024808,20586
CHTR,"Charter Communications, Inc.",Communication Services,206.12,26673858560,1947362
CHW,Calamos Global Dynamic Income F,Financial Services,8.01,511553760,167039
CHY,Calamos Convertible and High In,Financial Services,11.73,938693376,203663
